Name;Density (g/cc);E-Modul (GPa);Class
Zoltek™ PX35 Continuous Tow Carbon Fiber;1.81;242;Carbon
DowAksa AKSACA™ A-38 3K Continuous Carbon Fiber;1.79;245;Carbon
DowAksa AKSACA™ A-38 6K Continuous Carbon Fiber;1.79;245;Carbon
DowAksa AKSACA™ A-42 12K Continuous Carbon Fiber;1.79;245;Carbon
DowAksa AKSACA™ A-42 24K Continuous Carbon Fiber;1.79;245;Carbon
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber;1.79;250;Carbon
Hexcel HexTow AS4C 3K Standard Modulus Carbon Fiber (3000 Filaments);1.78;231;Carbon
Hexcel HexTow AS4C 6K Standard Modulus Carbon Fiber (6000 Filaments);1.78;231;Carbon
Hexcel HexTow AS4C 12K Standard Modulus Carbon Fiber (12,000 Filaments);1.78;231;Carbon
Hexcel HexTow AS4D 12K Standard Modulus Carbon Fiber (12,000 Filaments);1.79;241;Carbon
Hexcel HexTow AS7 12K Standard Modulus Carbon Fiber;1.79;248;Carbon
Hexcel HexTow IM2A Carbon Fiber (12,000 Filaments);1.78;276;Carbon
Hexcel HexTow IM2C Carbon Fiber (12,000 Filaments);1.78;296;Carbon
Hexcel HexTow AS4 3K Standard Modulus Carbon Fiber (3000 Filaments);1.79;231;Carbon
Hexcel HexTow AS4 6K Standard Modulus Carbon Fiber (6000 Filaments);1.79;231;Carbon
Hexcel HexTow AS4 12K Standard Modulus Carbon Fiber (12,000 Filaments);1.79;231;Carbon
Hexcel HexTow AS4A Standard Modulus Carbon Fiber (12,000 Filaments);1.79;231;Carbon
Hexcel HexTow IM5 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;276;Carbon
Hexcel HexTow IM6 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.76;279;Carbon
Hexcel HexTow IM7 6K Intermediate Modulus Carbon Fiber (6000 Filaments);1.78;276;Carbon
Hexcel HexTow IM7 12K Intermediate Modulus Carbon Fiber (12,000 Filaments);1.78;276;Carbon
Hexcel HexTow IM8 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.78;310;Carbon
Hexcel HexTow IM10 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;310;Carbon
Hexcel HexTow IMA Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;297;Carbon
Hexcel HexTow HM63 High Modulus Carbon Fiber (12,000 Filaments);1.83;441;Carbon
SGL Carbon Group SIGRAFIL C C30 T045 EPY Continuous Tow Carbon Fiber with 45k filaments, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C30 T050 EPY Continuous Tow Carbon Fiber with 50k filaments, Epoxy Sizing;1.80;240;Carbon
SGL Carbon Group SIGRAFIL C C30 T400 EPY Continuous Tow Carbon Fiber with 400k filaments, Epoxy Sizing;1.80;240;Carbon
SGL Carbon Group SIGRAFIL C C25 S003 PUT Staple Carbon Fiber, Polyurethane Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S006 PUT Staple Carbon Fiber, Polyurethane Sizing;1.80;225;Carbon
