Name;Density (g/cc);E-Modul (GPa);Poissons Ratio;Class
Beryllium, Be;1.84;303;0.0700 - 0.180
Diamond, Natural;3.51 - 3.52;700 - 1200;0.100 - 0.290
Diamond, Polycrystalline;3.00 - 4.00;749 - 953;0.0700 - 0.200
Overview of materials for Beryllium Alloy;1.84 - 8.94;110 - 330;0.0700 - 0.330
Beryllium I-220H Grade 1;1.84;303;0.0700 - 0.180
Beryllium I-220H Grade 2;1.84;303;0.0700 - 0.180
Beryllium I-220C, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium I-220H Instrument Grade;1.84;303;0.0700 - 0.180
Beryllium IP-70, Powder;1.84;303;0.0700 - 0.180
Beryllium I-70B, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium I-70H, Optical Grade;1.84;303;0.0700 - 0.180
Beryllium IF-1, Foil Grade;1.84;303;0.0700 - 0.180
Beryllium O-30-L, Optical Grade;1.84;303;0.0700 - 0.180
Beryllium PF-60, Foil Grade;1.84;303;0.0700 - 0.180
Beryllium S-200FH, Hot Isostatic Pressed;1.84;303;0.0700 - 0.180
Beryllium S-200, Rod;1.84;303;0.0700 - 0.180
Beryllium S-200, Tubing;1.84;303;0.0700 - 0.180
Beryllium S-65C, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium S-65H, Hot Isostatic Pressed;1.84;303;0.0700 - 0.180
Beryllium S-200FC, Cold Isostatic Pressed and Sintered;1.84;303;0.0700 - 0.180
Beryllium SP-65, Powder;1.84;303;0.0700 - 0.180
Beryllium SP-200F, Powder;1.84;303;0.0700 - 0.180
Beryllium SR-200;1.84;307;0.0700 - 0.180
Overview of materials for Epoxy Adhesive;0.137 - 4.80;0.0345 - 59.1;0.0200 - 0.680
Overview of materials for Epoxy/Carbon Fiber Composite;1.15 - 2.25;2.62 - 520;0.0200 - 0.960
Bond Laminates TEPEX dynalite 201-C200(x)/45% Carbon – PA6.6 Consolidated Composite Laminate;1.43;51.0 - 53.0;0.0700
Solvay CYCOM 2040 Epoxy Prepreg Unidirectional Tape with T800-140;1.21;7.50 - 172;0.0100 - 0.850
Solvay CYCOM 2040 Epoxy Prepreg Fabric with 6KT800-2X2T-200;1.21;69.6 - 81.9;0.0300 - 0.860
Solvay CYCOM 2040 Epoxy Prepreg Fabric with 6KM46J-2X2T-200;1.21;102 - 126;0.0200 - 0.880
Solvay CYCOM 759F Epoxy - Unidirectional Carbon Tape Reinforced Prepreg;1.23;5.20 - 408;0.0600 - 0.980
Solvay CYCOM 759F Epoxy - 6KM40B-5H-280 Fabric Reinforced Prepreg;1.23;97.0 - 105;0.0500 - 0.950
Solvay MTM 228 Epoxy Prepreg;1.19;62.9 - 63.1;0.0600 - 0.0700
Solvay HTM 60 Epoxy;1.29;8.80 - 159;0.0200 - 0.400
Solvay MTM 249;1.20;66.0 - 168;0.0300 - 0.0600
Solvay MTM 79 Epoxy Matrix with 50% CF1420 Carbon Fiber Composite;1.26;51.0 - 51.3;0.0300 - 0.0700
Solvay MTM 79 Epoxy Matrix with 42% CF2115 Carbon Fiber Composite;1.26;124 - 127;0.0300 - 0.0500
Solvay MTM 79 Epoxy Matrix with 42% CF1218 Carbon Fiber Composite;1.26;72.1 - 73.4;0.0300 - 0.0500
Solvay MTM 348FR Epoxy Resin;1.48;27.0 - 59.1;0.0200 - 0.680
Polygon Composites Polylube HT High Temperature Bearings Versatile high load, low friction composite bearings;1.87;4.14 - 34.5;0.0800
Toray 2510 Prepreg Laminate with F6273C-07M Fiber (Oven Cure);1.50;55.8 - 56.0;0.0400
Toray 2511 Prepreg Laminate with F6273C-11M (T700S-12K PW) Fiber;1.51;56.7 - 59.2;0.0540
Beryllium, Be;1.84;303;0.0700 - 0.180
Europium, Eu;5.26;18.2;0.152
Plutonium, Pu;19.0;96.5;0.150 - 0.210
99.5% Alumina, thin film substrate;3.90;370;0.200
99.6% Alumina, thin-film substrate;3.90;370;0.200
Hafnium Carbide, HfC;12.2 - 12.8;352;0.180
Silicon Carbide, Alpha SiC;3.10 - 3.21;410;0.140
Silicon Carbide, Reaction-Bonded, SiSiC;2.90 - 3.10;350 - 400;0.170 - 0.200
Titanium Carbide, TiC;4.94;448 - 451;0.180 - 0.190
Zirconium Carbide, ZrC;6.56 - 6.73;345 - 406;0.190 - 0.200
96% Silica Consolidated Reconstructed Glass;2.18;68.0;0.190
Silicon Nitride, RBSN;3.20 - 3.30;120 - 150;0.200
Chromium Nitride (CrN) PVD Coating;5.90;200;0.200
