Sample;Density;ModulusOfElasticity
Zoltek™ PX35 Continuous Tow Carbon Fiber;1.81;242.0
DowAksa AKSACA™ A-38 3K Continuous Carbon Fiber;1.79;245.0
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber;1.79;250.0
Hexcel HexTow AS4C 3K Standard Modulus Carbon Fiber (3000 Filaments);1.78;231.0
Hexcel HexTow AS4D 12K Standard Modulus Carbon Fiber (12,000 Filaments);1.79;241.0
Hexcel HexTow AS7 12K Standard Modulus Carbon Fiber;1.79;248.0
Hexcel HexTow IM2A Carbon Fiber (12,000 Filaments);1.78;276.0
Hexcel HexTow IM2C Carbon Fiber (12,000 Filaments);1.78;296.0
Hexcel HexTow AS4 3K Standard Modulus Carbon Fiber (3000 Filaments);1.79;231.0
Hexcel HexTow IM5 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;276.0
Hexcel HexTow IM6 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.76;279.0
Hexcel HexTow IM8 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.78;310.0
Hexcel HexTow IM10 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;310.0
Hexcel HexTow IMA Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;297.0
Hexcel HexTow HM63 High Modulus Carbon Fiber (12,000 Filaments);1.83;441.0
SGL Carbon Group SIGRAFIL C C30 T045 EPY Continuous Tow Carbon Fiber with 45k filaments, Epoxy Sizing;1.8;225.0
SGL Carbon Group SIGRAFIL C C30 T050 EPY Continuous Tow Carbon Fiber with 50k filaments, Epoxy Sizing;1.8;240.0
SGL Carbon Group SIGRAFIL C C10 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.75;200.0
SGL Carbon Group SIGRAFIL C C30 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240.0
SGL Carbon Group SIGRAFIL C C10 M250 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.75;180.0
Teijin Tenax E HTS40 F13 Poly-acrylonitrile Carbon Fiber;1.77;240.0
