Sample;Density;ModulusOfElasticity;PoissonsRatio
Beryllium, Be;1.84;303.0;0.12
Diamond, Natural;3.51;950.0;0.2
Diamond, Polycrystalline;3.5;851.0;0.14
Beryllium I-220H Grade 1;1.84;303.0;0.12
Beryllium I-220H Grade 2;1.84;303.0;0.12
Beryllium I-220C, Vacuum Hot Pressed;1.84;303.0;0.12
Beryllium I-220H Instrument Grade;1.84;303.0;0.12
Beryllium IP-70, Powder;1.84;303.0;0.12
Beryllium I-70B, Vacuum Hot Pressed;1.84;303.0;0.12
Beryllium I-70H, Optical Grade;1.84;303.0;0.12
Beryllium IF-1, Foil Grade;1.84;303.0;0.12
Beryllium O-30-L, Optical Grade;1.84;303.0;0.12
Beryllium PF-60, Foil Grade;1.84;303.0;0.12
Beryllium S-200FH, Hot Isostatic Pressed;1.84;303.0;0.12
Beryllium S-200, Rod;1.84;303.0;0.12
Beryllium S-200, Tubing;1.84;303.0;0.12
Beryllium S-65C, Vacuum Hot Pressed;1.84;303.0;0.12
Beryllium S-65H, Hot Isostatic Pressed;1.84;303.0;0.12
Beryllium S-200FC, Cold Isostatic Pressed and Sintered;1.84;303.0;0.12
Beryllium SP-65, Powder;1.84;303.0;0.12
Beryllium SP-200F, Powder;1.84;303.0;0.12
Beryllium SR-200;1.84;307.0;0.12
Bond Laminates TEPEX dynalite 201-C200(x)/45% Carbon – PA6.6 Consolidated Composite Laminate;1.43;52.0;0.07
Solvay CYCOM 2040 Epoxy Prepreg Unidirectional Tape with T800-140;1.21;89.75;0.43
Solvay CYCOM 2040 Epoxy Prepreg Fabric with 6KT800-2X2T-200;1.21;75.75;0.45
Solvay CYCOM 2040 Epoxy Prepreg Fabric with 6KM46J-2X2T-200;1.21;114.0;0.45
Solvay CYCOM 759F Epoxy - Unidirectional Carbon Tape Reinforced Prepreg;1.23;206.6;0.52
Solvay CYCOM 759F Epoxy - 6KM40B-5H-280 Fabric Reinforced Prepreg;1.23;101.0;0.5
Solvay MTM 228 Epoxy Prepreg;1.19;63.0;0.07
Solvay HTM 60 Epoxy;1.29;83.9;0.21
Solvay MTM 249;1.2;117.0;0.04
Solvay MTM 79 Epoxy Matrix with 50% CF1420 Carbon Fiber Composite;1.26;51.15;0.05
Solvay MTM 79 Epoxy Matrix with 42% CF2115 Carbon Fiber Composite;1.26;125.5;0.04
Solvay MTM 79 Epoxy Matrix with 42% CF1218 Carbon Fiber Composite;1.26;72.75;0.04
Solvay MTM 348FR Epoxy Resin;1.48;43.05;0.35
Polygon Composites Polylube HT High Temperature Bearings Versatile high load, low friction composite bearings;1.87;19.32;0.08
Toray 2510 Prepreg Laminate with F6273C-07M Fiber (Oven Cure);1.5;55.9;0.04
Toray 2511 Prepreg Laminate with F6273C-11M (T700S-12K PW) Fiber;1.51;57.95;0.054
Europium, Eu;5.26;18.2;0.152
Plutonium, Pu;19.0;96.5;0.18
99.5% Alumina, thin film substrate;3.9;370.0;0.2
99.6% Alumina, thin-film substrate;3.9;370.0;0.2
Hafnium Carbide, HfC;12.5;352.0;0.18
Silicon Carbide, Alpha SiC;3.16;410.0;0.14
Silicon Carbide, Reaction-Bonded, SiSiC;3.0;375.0;0.18
Titanium Carbide, TiC;4.94;449.5;0.18
Zirconium Carbide, ZrC;6.64;375.5;0.2
96% Silica Consolidated Reconstructed Glass;2.18;68.0;0.19
Silicon Nitride, RBSN;3.25;135.0;0.2
Chromium Nitride (CrN) PVD Coating;5.9;200.0;0.2
Fused Quartz;2.2;74.0;0.17
CeramTec CD 110 Silicon Carbide, SSiC;3.1;415.0;0.16
CeramTec Rocar SiG Silicon Carbide, SiSiC;3.07;380.0;0.17
CeramTec Rocar ST Silicon Carbide, SSiC;3.11;420.0;0.16
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;3.26;415.0;0.16
CeramTec 447 Cordierite;1.8;125.0;0.2
CeramTec Rocar S Silicon Carbide, SSiC;3.15;430.0;0.17
CeramTec Rocar SiF Silicon Carbide, SiSiC;3.07;395.0;0.17
CoorsTek HPB4C Hot Pressed Boron Carbide;2.5;460.0;0.17
CoorsTek FUSED QUARTZ Min. 99.99% SiO2;2.2;72.0;0.16
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;3.01;420.0;0.18
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;2.9;310.0;0.18
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;2.49;430.0;0.16
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;3.05;450.0;0.16
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;3.2;460.0;0.14
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;3.23;455.0;0.14
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;2.63;455.0;0.16
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;4.48;555.0;0.11
CoorsTek UltraSiC™ HD Direct Sintered Silicon Carbide;3.15;410.0;0.2
CoorsTek RB B4C Reaction-Bonded Boron Carbide;2.65;379.0;0.18
CoorsTek ADS-995 99.5% Alumina Thin Film;3.88;372.0;0.2
CoorsTek ADS-996 99.6% Alumina Thin Film;3.88;372.0;0.2
CoorsTek Superstrate 996 99.6% Alumina Thin Film;3.88;372.0;0.2
CoorsTek Superstrate TPS 99.6% Alumina Thin Film;3.95;372.0;0.2
Corning 7740 Soda Borosilicate Glass Powder;2.23;64.0;0.2
Corning HPFS 7979 IR Grade High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 7980 Standard Grade High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 7980 KrF High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 7980 ArF High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 7980 Mirror Grade High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 7980 Industrial Grade High Purity Fused Silica;2.2;73.0;0.16
Corning HPFS 8655 ArF Grade High Purity Fused Silica;2.2;73.0;0.16
Corning TSG Titania Silicate Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7972 Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 Premium Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 EUV Premium Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 EUV Mask A Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 EUV Standard Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 Mirror Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 Standard Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning ULE 7973 Tooling Grade Ultra Low Expansion Glass;2.21;67.6;0.17
Corning Willow Flexible Display Glass;2.4;75.0;0.23
Diamond, Synthetic;3.36;862.5;0.2
3M Techical Ceramics Ekasic C Silicone Carbide;3.15;440.0;0.17
3M Techical Ceramics Ekasic F Silicone Carbide;3.15;430.0;0.17
3M Techical Ceramics Ekasic T Silicone Carbide;3.21;420.0;0.17
3M Techical Ceramics Boron Carbide Powder;2.48;420.0;0.18
3M Techical Ceramics Ekasic F Plus Silicon Carbide;3.18;430.0;0.17
3M Techical Ceramics Ekasic P Silicon Carbide;2.83;340.0;0.13
3M Techical Ceramics Ekasic G Silicon Carbide;3.02;390.0;0.15
3M Techical Ceramics Ekasic T Plus Silicon Carbide;3.24;430.0;0.17
3M Techical Ceramics Titanium Diboride;4.5;575.0;0.11
Ferro Aluminum Oxide P87;3.48;248.0;0.2
A-Glass Fiber, Generic;2.44;68.9;0.183
E-Glass Fiber, Generic;2.57;72.4;0.2
Goodfellow Titanium Diboride, TiB2;4.5;545.0;0.19
Mateck Fused Silica UV-VIS Grade (SiO2);2.21;73.6;0.17
Mateck Fused Silica IR Grade (SiO2);2.21;73.6;0.17
Mateck Potassium Bromide (KBr);2.75;23.4;0.138
Mateck Potassium Chloride (KCl);1.98;27.5;0.134
Morgan Advanced Ceramics Alumina AL998A Aluminum Oxide Ceramic;3.94;391.0;0.19
Morgan Advanced Ceramics Alumina AL998A Technical Ceramic;3.94;391.0;0.19
Poco Graphite SUPERSiC 3C Silicon Carbide;3.15;216.0;0.17
Poco Graphite SUPERSiC 3CX Silicon Carbide;3.15;216.0;0.17
Poco Graphite SUPERSiC Si-3C Silicon Carbide;3.03;338.0;0.17
Poco Graphite SUPERSiC Si-8C Silicon Carbide;3.03;338.0;0.17
Potters Industries Spheriglass 1922 Solid Glass Spheres;2.5;68.9;0.16
Potters Industries Spheriglass 2024 Solid Glass Spheres;2.5;68.9;0.16
Potters Industries Spheriglass 2429 Solid Glass Spheres;2.5;68.9;0.16
Potters Industries Spheriglass 2530 Solid Glass Spheres;2.5;68.9;0.16
Potters Industries Spheriglass 3000 Solid Glass Spheres;2.5;68.9;0.16
Potters Industries Spheriglass 5000 Solid Glass Spheres;2.5;68.9;0.16
Schott K10 Glass;2.52;65.0;0.19
Schott LITHOSIL-Q Glass;2.2;72.0;0.17
Schott CONTURAX Borosilicate Glass;2.23;63.0;0.2
Schott CONTURAX Pro Borosilicate Glass;2.23;63.0;0.2
Schott DURATAN Borosilicate Glass;2.23;63.0;0.2
Schott DUROBAX amber Neutral Glass Tubing;2.42;71.0;0.19
Schott DUROBAX clear Neutral Glass Tubing;2.34;73.0;0.2
Schott Glass 8326 Neutral Glass Tubing;2.45;75.0;0.2
Schott Glass 8347 Borosilicate Glass;2.23;63.0;0.2
Schott Glass 8487 Borosilicate Glass;2.25;66.0;0.2
Schott Glass 8687 Borosilicate Glass;2.25;66.0;0.2
Schott Glass 8688 Borosilicate Glass;2.27;64.0;0.2
Schott Glass 8689 Borosilicate Glass;2.27;65.0;0.2
Schott Glass 8800R Glass Tube;2.27;65.0;0.2
Schott KIMAX Borosilicate Glass;2.23;63.0;0.2
Schott BOROFLOAT Borosilicate Float Glass;2.23;63.0;0.2
Saint-Gobain Puropsil B Infrared Grade Low [OH] Optical Fused Quartz;2.21;74.0;0.17
