Sample;Density;ModulusOfElasticity;Class
Zoltek™ PX35 Continuous Tow Carbon Fiber;0.0820607252135628;0.1875968992248062;Carbon
DowAksa AKSACA™ A-38 3K Continuous Carbon Fiber;0.0811377093515352;0.18992248062015504;Carbon
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber;0.0811377093515352;0.1937984496124031;Carbon
Hexcel HexTow AS4C 3K Standard Modulus Carbon Fiber (3000 Filaments);0.08067620142052141;0.17906976744186046;Carbon
Hexcel HexTow AS4D 12K Standard Modulus Carbon Fiber (12,000 Filaments);0.0811377093515352;0.1868217054263566;Carbon
Hexcel HexTow AS7 12K Standard Modulus Carbon Fiber;0.0811377093515352;0.19224806201550387;Carbon
Hexcel HexTow IM2A Carbon Fiber (12,000 Filaments);0.08067620142052141;0.21395348837209302;Carbon
Hexcel HexTow IM2C Carbon Fiber (12,000 Filaments);0.08067620142052141;0.22945736434108527;Carbon
Hexcel HexTow AS4 3K Standard Modulus Carbon Fiber (3000 Filaments);0.0811377093515352;0.17906976744186046;Carbon
Hexcel HexTow IM5 Intermediate Modulus Carbon Fiber (12,000 Filaments);0.0811377093515352;0.21395348837209302;Carbon
Hexcel HexTow IM6 Intermediate Modulus Carbon Fiber (12,000 Filaments);0.07975318555849382;0.21627906976744185;Carbon
Hexcel HexTow IM8 Intermediate Modulus Carbon Fiber (12,000 Filaments);0.08067620142052141;0.24031007751937983;Carbon
Hexcel HexTow IM10 Intermediate Modulus Carbon Fiber (12,000 Filaments);0.0811377093515352;0.24031007751937983;Carbon
Hexcel HexTow IMA Intermediate Modulus Carbon Fiber (12,000 Filaments);0.0811377093515352;0.2302325581395349;Carbon
Hexcel HexTow HM63 High Modulus Carbon Fiber (12,000 Filaments);0.08298374107559038;0.34186046511627904;Carbon
SGL Carbon Group SIGRAFIL C C30 T045 EPY Continuous Tow Carbon Fiber with 45k filaments, Epoxy Sizing;0.081599217282549;0.1744186046511628;Carbon
SGL Carbon Group SIGRAFIL C C30 T050 EPY Continuous Tow Carbon Fiber with 50k filaments, Epoxy Sizing;0.081599217282549;0.18604651162790697;Carbon
SGL Carbon Group SIGRAFIL C C10 S003 GLY Staple Carbon Fiber, Glycerine Sizing;0.07929167762748003;0.15503875968992248;Carbon
SGL Carbon Group SIGRAFIL C C30 S003 GLY Staple Carbon Fiber, Glycerine Sizing;0.08252223314457659;0.18604651162790697;Carbon
SGL Carbon Group SIGRAFIL C C10 M250 UNS Milled Carbon Fiber, Unsized Carbon Fiber;0.07929167762748003;0.13953488372093023;Carbon
Teijin Tenax E HTS40 F13 Poly-acrylonitrile Carbon Fiber;0.08021469348950762;0.18604651162790697;Carbon
Teijin Tenax J HTS40 E13 3K 200tex Poly-acrylonitrile Carbon Fiber;0.08021469348950762;0.17829457364341084;Carbon
Teijin Tenax J HTS40 A23 12K 1420tex MC Nickel-Coated, high strength carbon fiber;0.1231349310737905;0.17829457364341084;Carbon
Teijin Tenax J UTS50 E13 12K 800tex Poly-acrylonitrile Carbon Fiber;0.08067620142052141;0.18992248062015504;Carbon
Teijin Tenax E UTS50 F24 24K 1600tex DCP Poly-acrylonitrile Carbon Fiber;0.08067620142052141;0.1821705426356589;Carbon
Teijin Tenax J IMS60 E13 24K 830tex Poly-acrylonitrile Carbon Fiber;0.0811377093515352;0.2248062015503876;Carbon
Teijin Tenax E IMS65 E23 24K 830tex Poly-acrylonitrile Carbon Fiber;0.08067620142052141;0.2248062015503876;Carbon
Teijin Tenax A IM P303 3mm Chopped carbon fiber;0.0811377093515352;0.2131782945736434;Carbon
Teijin Tenax E ITS50 F23 24K 1600tex D Poly-acrylonitrile Carbon Fiber;0.081599217282549;0.19767441860465115;Carbon
Teijin Tenax A HT P722 3mm Chopped carbon fiber;0.0811377093515352;0.17984496124031008;Carbon
Teijin Tenax A HT P303 3mm Chopped carbon fiber;0.07883016969646624;0.17054263565891473;Carbon
Solvay Thornel T-300 1K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;0.07975318555849382;0.17906976744186046;Carbon
Solvay Thornel T-650/35 3K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;0.08021469348950762;0.1868217054263566;Carbon
Solvay Thornel T-650/35 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;0.07698413797241105;0.19224806201550387;Carbon
Solvay Thornel P-25 2K Carbon Fiber, Pitch Precursor;0.08621429659268694;0.12403100775193798;Carbon
Toho Tenax Besfight MC Type I (3000 Filament) Nickel Coated Carbon Fiber;0.1231349310737905;0.17519379844961241;Carbon
Toho Tenax Besfight MC Type II (3000 Filament) Nickel Coated Carbon Fiber;0.15544048624475612;0.16744186046511628;Carbon
Toho Tenax Besfight STS 24K HTA-7C F301 Continuous Filament Carbon Fiber;0.07929167762748003;0.18604651162790697;Carbon
Toho Tenax Besfight G30-400 1K HTA-7W EP01 Continuous Filament Carbon Fiber;0.08067620142052141;0.1813953488372093;Carbon
Toho Tenax Besfight G30-500 3K HTA-7C EP03 Continuous Filament Carbon Fiber;0.07929167762748003;0.1813953488372093;Carbon
Toho Tenax Besfight G30-500 12K HTA-7C EP01 Continuous Filament Carbon Fiber;0.07975318555849382;0.1813953488372093;Carbon
Toho Tenax Besfight G30-500 12K HTA-7S F202 Continuous Filament Carbon Fiber;0.07929167762748003;0.18527131782945735;Carbon
Toho Tenax Besfight G30-700 12K HTA-7C EP03 Continuous Filament Carbon Fiber;0.08067620142052141;0.1868217054263566;Carbon
Toho Tenax Besfight G40-600 12K IMA-7C EP03 Continuous Filament Carbon Fiber;0.07883016969646624;0.2248062015503876;Carbon
Toho Tenax Besfight G40-800 6K IMA-5C EP03 Continuous Filament Carbon Fiber;0.0811377093515352;0.22170542635658913;Carbon
Toho Tenax Besfight G50-300 12K HMA-7C EP01 Continuous Filament Carbon Fiber;0.08067620142052141;0.27829457364341087;Carbon
Toho Tenax Besfight G55-700 24K HMA-5C A303 Continuous Filament Carbon Fiber;0.081599217282549;0.30465116279069765;Carbon
Toho Tenax Besfight G60-600 12K UMA-5C A303 Continuous Filament Carbon Fiber;0.08252223314457659;0.3310077519379845;Carbon
Toho Tenax Besfight G80-600 12K UMA-5C F301 Continuous Filament Carbon Fiber;0.08713731245471452;0.4170542635658915;Carbon
Toray T300 Carbon Fiber;0.07975318555849382;0.17829457364341084;Carbon
Toray T700S Carbon Fiber;0.081599217282549;0.17829457364341084;Carbon
Toray T800H Carbon Fiber;0.0820607252135628;0.22790697674418603;Carbon
Toray T800S Carbon Fiber;0.081599217282549;0.22790697674418603;Carbon
Toray M35J Carbon Fiber;0.07929167762748003;0.26589147286821707;Carbon
Toray M40J Carbon Fiber;0.08021469348950762;0.29224806201550385;Carbon
Toray M46J Carbon Fiber;0.08344524900660417;0.33798449612403103;Carbon
Toray M55J Carbon Fiber;0.08667580452370073;0.41860465116279066;Carbon
Toray M60J Carbon Fiber;0.08759882038572832;0.45581395348837206;Carbon
Solvay THORNEL GPC-10 Pitch-Based Fiber;0.08621429659268694;0.10697674418604651;Carbon
Solvay THORNEL T-650/35 Pan-Based Fiber;0.08021469348950762;0.19767441860465115;Carbon
Toray T1100G Carbon Fiber;0.0811377093515352;0.25116279069767444;Carbon
Diamond, Natural;0.16051707348590785;0.7364341085271318;Carbon
Diamond, Synthetic;0.15359445452070095;0.6686046511627907;Carbon
Diamond, Polycrystalline;0.16005556555489409;0.6596899224806202;Carbon
Graphite, Carbon, C;0.10236707417816975;0.0037209302325581393;Carbon
Pyrolytic Graphite, Low Temperature Isotropic (LTI);0.07467659831734208;0.01744186046511628;Carbon
Momentive Performance Materials Pyrolytic Graphite (PG) Coating;0.10005953452310079;0.015503875968992248;Carbon
Pyrotek ISOFLOW Graphite Rings Graphite Rings for Billet Casting Molds;0.07836866176545243;0.008410852713178294;Carbon
SGL Carbon Group EK 10 Carbon Graphite;0.07513810624835587;0.012325581395348837;Carbon
SGL Carbon Group EK 17 Carbon Graphite;0.07513810624835587;0.023488372093023256;Carbon
SGL Carbon Group EK 20 Carbon Graphite;0.07698413797241105;0.017131782945736435;Carbon
SGL Carbon Group EK 2200 Carbon Graphite;0.08252223314457659;0.020852713178294572;Carbon
SGL Carbon Group EK 2203 Carbon Graphite;0.081599217282549;0.019224806201550388;Carbon
SGL Carbon Group EK 2209 Carbon Graphite;0.08021469348950762;0.020310077519379844;Carbon
SGL Carbon Group EK 3205 Carbon Graphite;0.10236707417816975;0.023488372093023256;Carbon
SGL Carbon Group EK 2230 Carbon Graphite;0.08390675693761797;0.017131782945736435;Carbon
SGL Carbon Group EK 2239 Carbon Graphite;0.081599217282549;0.015503875968992248;Carbon
SGL Carbon Group EK 3235 Carbon Graphite;0.11851985176365257;0.023488372093023256;Carbon
SGL Carbon Group EK 24 Carbon Graphite;0.07698413797241105;0.01387596899224806;Carbon
SGL Carbon Group EK 2240 Carbon Graphite;0.0820607252135628;0.01496124031007752;Carbon
SGL Carbon Group EK 2243 Carbon Graphite;0.0811377093515352;0.01387596899224806;Carbon
SGL Carbon Group EK 3245 Carbon Graphite;0.10005953452310079;0.01868217054263566;Carbon
SGL Carbon Group EK 40 Graphite;0.07606112211038346;0.006945736434108528;Carbon
SGL Carbon Group EK 200 Graphite;0.08252223314457659;0.010697674418604652;Carbon
SGL Carbon Group EK 203 Graphite;0.081599217282549;0.009069767441860464;Carbon
SGL Carbon Group EK 204 Graphite;0.08067620142052141;0.010155038759689922;Carbon
SGL Carbon Group EK 305 Graphite;0.11621231210858357;0.016046511627906976;Carbon
SGL Carbon Group V 1626 Graphite;0.08390675693761797;0.010697674418604652;Carbon
Barium Boride, BaB6;0.19928373969106658;0.29844961240310075;Ceramic
Calcium Boride, CaB6;0.11067421693641806;0.3496124031007752;Ceramic
Cerium Boride, CeB6;0.21959008865567356;0.2937984496124031;Ceramic
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;0.20528334279424595;0.43023255813953487;Ceramic
3M Techical Ceramics Titanium Diboride;0.20620635865627351;0.44573643410852715;Ceramic
Goodfellow Titanium Diboride, TiB2;0.20620635865627351;0.42248062015503873;Ceramic
Chromium Carbide, Cr3C2;0.3063535796862669;0.2941860465116279;Ceramic
Hafnium Carbide, HfC;0.5754127034673091;0.27286821705426356;Ceramic
Molybdenum Carbide, Mo2C;0.3995781817510534;0.3023255813953488;Ceramic
Niobium Carbide, NbC;0.3543504045117016;0.336046511627907;Ceramic
Silicon Carbide, CVD;0.1415952483143423;0.32558139534883723;Ceramic
Silicon Carbide, Alpha SiC;0.14436429590042507;0.3178294573643411;Ceramic
Silicon Carbide, sublimed;0.14574881969346645;0.3624031007751938;Ceramic
Silicon Carbide, Reaction-Bonded, SiSiC;0.13698016900420434;0.29069767441860467;Ceramic
Tantalum Carbide, TaC;0.6584841310497921;0.3732558139534884;Ceramic
Titanium Carbide, TiC;0.2265127076208805;0.3484496124031008;Ceramic
Vanadium Carbide, VC;0.26204881830894267;0.26666666666666666;Ceramic
Tungsten Carbide, W2C;0.6815595276004818;0.32558139534883723;Ceramic
Tungsten Carbide, WC;0.7230952413917232;0.5290697674418604;Ceramic
Zirconium Carbide, ZrC;0.30496905589322554;0.29108527131782946;Ceramic
ERG Aerospace Duocel Silicon Carbide Foam;0.010988503837438447;0.003736434108527132;Ceramic
CeramTec CD 110 Silicon Carbide, SSiC;0.1415952483143423;0.32170542635658916;Ceramic
CeramTec Rocar SiG Silicon Carbide, SiSiC;0.1402107245213009;0.2945736434108527;Ceramic
CeramTec Rocar ST Silicon Carbide, SSiC;0.14205675624535608;0.32558139534883723;Ceramic
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;0.148979375210563;0.32170542635658916;Ceramic
CeramTec Rocar S Silicon Carbide, SSiC;0.14390278796941128;0.3333333333333333;Ceramic
CeramTec Rocar SiF Silicon Carbide, SiSiC;0.1402107245213009;0.3062015503875969;Ceramic
COI Ceramics Nicalon™ CG SiCO Ceramic Fiber;0.11621231210858357;0.16279069767441862;Ceramic
COI Ceramics Nicalon™ HRV SiCO Ceramic Fiber;0.1055976296952663;0.13953488372093023;Ceramic
COI Ceramics Nicalon™ HI SiC Low O Ceramic Fiber;0.1249809627978457;0.20930232558139533;Ceramic
COI Ceramics Sylramic™ Crystalline Silicon Carbide (SiC) Fiber;0.13836469279724573;0.28294573643410853;Ceramic
CoorsTek HPB4C Hot Pressed Boron Carbide;0.11390477245351462;0.3565891472868217;Ceramic
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);0.14390278796941128;0.3178294573643411;Ceramic
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);0.14713334348650783;0.29069767441860467;Ceramic
CoorsTek SN102 Sinter-HIP Silicon Nitride;0.14759485141752163;0.2248062015503876;Ceramic
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;0.13744167693521814;0.32558139534883723;Ceramic
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;0.1323650896940664;0.24031007751937983;Ceramic
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;0.11344326452250082;0.3333333333333333;Ceramic
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;0.1392877086592733;0.3488372093023256;Ceramic
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;0.14621032762448025;0.3565891472868217;Ceramic
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;0.14759485141752163;0.35271317829457366;Ceramic
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;0.11990437555669393;0.35271317829457366;Ceramic
CoorsTek ACI-Ni6 Tungsten Carbide;0.6861746069106197;0.47054263565891474;Ceramic
CoorsTek ACI-Ni10 Tungsten Carbide;0.66309921035993;0.44341085271317826;Ceramic
CoorsTek ACI-Co6 Tungsten Carbide;0.6861746069106197;0.48604651162790696;Ceramic
CoorsTek ACI-Co10 Tungsten Carbide;0.667714289670068;0.45968992248062013;Ceramic
CoorsTek RB B4C Reaction-Bonded Boron Carbide;0.12082739141872152;0.2937984496124031;Ceramic
3M Techical Ceramics Ekasic C Silicone Carbide;0.14390278796941128;0.34108527131782945;Ceramic
3M Techical Ceramics Ekasic T Silicone Carbide;0.14667183555549404;0.32558139534883723;Ceramic
3M Techical Ceramics Boron Carbide Powder;0.11298175659148703;0.32558139534883723;Ceramic
3M Techical Ceramics Ekasic F Plus Silicon Carbide;0.14528731176245266;0.3333333333333333;Ceramic
3M Techical Ceramics Ekasic P Silicon Carbide;0.12913453417696985;0.26356589147286824;Ceramic
3M Techical Ceramics Ekasic G Silicon Carbide;0.13790318486623193;0.3023255813953488;Ceramic
3M Techical Ceramics Ekasic T Plus Silicon Carbide;0.14805635934853542;0.3333333333333333;Ceramic
3M Techical Ceramics Ekasic S Silicon Nitride;0.14805635934853542;0.23255813953488372;Ceramic
3M Techical Ceramics MYCROSINT HD Boron Nitride;0.08898334417876971;0.017829457364341085;Ceramic
3M Techical Ceramics MYCROSINT S Boron Nitride;0.09405993141992144;0.025193798449612403;Ceramic
3M Techical Ceramics MYCROSINT CD Boron Nitride;0.08944485210978351;0.02131782945736434;Ceramic
3M Techical Ceramics MYCROSINT SO 20 Boron Nitride;0.10467461383323871;0.02131782945736434;Ceramic
3M Techical Ceramics MYCROSINT SO 43 Boron Nitride;0.133288105556094;0.029069767441860465;Ceramic
3M Techical Ceramics MYCROSINT O 40 Boron Nitride;0.12867302624595603;0.027131782945736434;Ceramic
Goodfellow Tungsten Carbide/Cobalt;0.6861746069106197;0.46511627906976744;Ceramic
Goodfellow Hot Pressed Boron Carbide B4C;0.11344326452250082;0.35271317829457366;Ceramic
Goodfellow Hot Pressed Silicon Carbide SiC;0.14390278796941128;0.2713178294573643;Ceramic
Goodfellow Reaction Bonded Silicon Carbide SiC;0.1415952483143423;0.3178294573643411;Ceramic
Poco Graphite SUPERSiC 3C Silicon Carbide;0.14390278796941128;0.16744186046511628;Ceramic
Poco Graphite SUPERSiC Si-3C Silicon Carbide;0.13836469279724573;0.262015503875969;Ceramic
Pyrotek Pinnacle Thermocouple Protection Tubes O'-Sialon (Bonded Silicon Carbide) TCPT;0.11851985176365257;6.0465116279069765e-05;Ceramic
Schunk CarSIK NT Silicon Carbide;0.1411337403833285;0.27906976744186046;Ceramic
Schunk CarSIK CT Silicon Carbide;0.1323650896940664;0.20155038759689922;Ceramic
Schunk CarSIK SD Silicon Carbide;0.1415952483143423;0.31007751937984496;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-693™ Aluminum Silicon Carbide Composite, Reinforced;0.13605715314217676;0.19767441860465115;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-703™ Aluminum Silicon Carbide Composite, Reinforced;0.13698016900420434;0.18604651162790697;Ceramic
Thermal Transfer Composites PRIMEX™ MCX724™ Aluminum Silicon Carbide Composite, Reinforced;0.13421112141812158;0.1821705426356589;Ceramic
Thermal Transfer Composites PRIMEX ULTRA™ MCT-587™ Aluminum Silicon Carbide Composite, Reinforced;0.13744167693521814;0.20930232558139533;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1195™ Aluminum Silicon Carbide Composite, Reinforced;0.13098056590102503;0.11705426356589146;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1405™ Aluminum Silicon Carbide Composite, Reinforced;0.12775001038392844;0.09689922480620156;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;0.1263654865908871;0.08217054263565891;Ceramic
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);0.1415952483143423;0.30465116279069765;Ceramic
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;0.12775001038392844;0.24031007751937983;Ceramic
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;0.1323650896940664;0.11627906976744186;Ceramic
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;0.14667183555549404;0.3581395348837209;Ceramic
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;0.14667183555549404;0.3364341085271318;Ceramic
Specialty Materials SCS-6 Silicon Carbide Monofilament;0.13698016900420434;0.2945736434108527;Ceramic
Specialty Materials SCS-Ultra™ Silicon Carbide Fiber;0.14067223245231472;0.32170542635658916;Ceramic
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;0.13790318486623193;0.2558139534883721;Ceramic
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;0.13698016900420434;0.2558139534883721;Ceramic
