Sample;Density;ModulusOfElasticity;PoissonsRatio
Diamond, Natural;0.16122324330120896;0.7364340028964181;0.186046511627907
Diamond, Polycrystalline;0.16075699718853595;0.6596897860927281;0.11627906976744187
Diamond, Synthetic;0.15422955161111343;0.6686045183477022;0.186046511627907
Ohara S-TIH23 Optical Glass;0.15143207493507524;0.07147249608626394;0.2558139534883721
Morgan Advanced Ceramics Nilcra Zirconia MS Grade Zirconia;0.2651961264272959;0.1589143915959228;0.313953488372093
Piezo Kinetics PKI 409E Navy Type I Lead Zirconate Titanate Piezoelectric;0.35191790338448053;0.058914351518387385;0.313953488372093
Piezo Kinetics PKI 502 Navy Type II Lead Zirconate Titanate Piezoelectric;0.3565803645112109;0.05503838097274648;0.313953488372093
Piezo Kinetics PKI 532 Lead Zirconate Titanate Piezoelectric;0.35191790338448053;0.04883682809972103;0.313953488372093
Piezo Kinetics PKI 552 Lead Zirconate Titanate Piezoelectric;0.35191790338448053;0.04651124577233648;0.313953488372093
Piezo Kinetics PKI 802 Navy Type III Lead Zirconate Titanate Piezoelectric;0.35191790338448053;0.055813575081874664;0.313953488372093
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;0.12672103096340434;0.08217017479223283;0.313953488372093
Ohara S-LAH53V Optical Glass;0.20318539344178219;0.8837208836307726;0.3127906976744186
Ohara S-LAH98 Optical Glass;0.22789643741345308;0.9999999999999998;0.3093023255813953
Ohara S-LAM73 Optical Glass;0.20505037789247432;0.6728680859479071;0.3093023255813953
Ohara S-LAH92 Optical Glass;0.22463271462474182;0.09534847464741192;0.3093023255813953
Ohara S-TIM35 Optical Glass;0.135579707104192;0.06782908377336147;0.2302325581395349
Mateck Sapphire (Al2O3);0.18313681059684164;0.34457338073212235;0.3127906976744186
Ohara S-TIM28 Optical Glass;0.1365121993295381;0.06627869555510511;0.23488372093023255
Ohara S-TIM27 Optical Glass;0.1262547848507313;0.06147249207851038;0.22790697674418606
Ohara S-TIM25 Optical Glass;0.13324847654082686;0.06519342380232565;0.22790697674418606
Ohara S-TIM22 Optical Glass;0.12765352318875042;0.061860089133074475;0.2302325581395349
Ohara S-TIM 8 Optical Glass;0.12019358538598184;0.05813915740925921;0.222093023255814
Ohara S-TIM 5 Optical Glass;0.12019358538598184;0.05914690975112584;0.22441860465116284
Ohara S-TIM 3 Optical Glass;0.12205856983667397;0.060387220325730934;0.21976744186046512
Ohara S-TIM 2 Optical Glass;0.12299106206202005;0.06015466209299247;0.22093023255813957
Ohara S-TIM 1 Optical Glass;0.12392355428736611;0.06092985620212066;0.22558139534883723
Ohara S-TIL27 Optical Glass;0.11786235482261666;0.05806163799834639;0.2058139534883721
Ohara S-TIM39 Optical Glass;0.13371472265349987;0.06333295794041803;0.23953488372093026
Cordierite, 2MgO-2Al2O3-5SiO2;0.10480746366777166;0.09689886286566829;0.2558139534883721
Magnéli-Phase 40 vol.-% Ti4O7/60 vol.-% Ti5O9;0.24188382079364415;0.1713174973419737;0.2732558139534884
CeramTec 547 Cordierite (2MgO-2Al2O3-5SiO2);0.10480746366777166;0.09922444519305283;0.27906976744186046
Schott IOG-2 Phosphate Laser Glass;0.12438980040003918;0.041860081117567394;0.2674418604651163
Schott N-KZFS11 638424.320, Optical Glass;0.14676961380834488;0.061239933845771935;0.24534883720930237
Schott P-SF69 723292.293, Optical Glass;0.13418096876617291;0.07441823370095102;0.24534883720930237
Schott P-SF68 005210.619, Optical Glass;0.2861772014975825;0.061239933845771935;0.2732558139534884
Schott N-SF57HTultra 847238.353, Optical Glass;0.16215573552655504;0.07441823370095102;0.2558139534883721
Schott P-SK60 610579.308, Optical Glass;0.14117466045626845;0.07674381602833556;0.2476744186046512
Schott N-SK2HT 607567.355, Optical Glass;0.16308822775190113;0.06046473973664375;0.2593023255813954
Schott SFL6 805254.337, Optical Glass;0.1546957977237865;0.07209265137356648;0.2558139534883721
Schott N-SK15 623580.362, Optical Glass;0.1663519505406124;0.06511590439141283;0.2616279069767442
Schott N-SK10 623570.364, Optical Glass;0.16728444276595844;0.06279032206402829;0.2627906976744186
Schott N-SF56 785261.328, Optical Glass;0.15049958270972916;0.0705422631553101;0.25
Ohara S-TIL26 Optical Glass;0.11739610870994362;0.05728644388921821;0.2116279069767442
724-8 Nextrema Opaque White Glass Ceramic/SCHOTT;0.11599737037192452;0.0666662926096692;0.2558139534883721
712-8 Nextrema Opaque Grey Glass Ceramic/SCHOTT;0.11506487814657845;0.06511590439141283;0.2558139534883721
712-6 Nextrema Translucent Blue-Grey Glass Ceramic/SCHOTT;0.1145986320339054;0.0666662926096692;0.2558139534883721
Mateck Barium Fluoride, BaF2;0.2227677301740497;0.05104613131073634;0.31046511627906975
Mateck Lithium Fluoride (LiF);0.11879484704796274;0.08930196059621211;0.2674418604651163
C-Glass Fiber, Generic;0.11599737037192452;0.0534104733435773;0.2744186046511628
Ferro Aluminum Oxide P99;0.18033933392080342;0.25658884934607373;0.2558139534883721
3M Techical Ceramics Ekasic S Silicon Nitride;0.14863459825903702;0.23255783196310006;0.27906976744186046
CoorsTek SN102 Sinter-HIP Silicon Nitride;0.14816835214636398;0.22480589087181824;0.2674418604651163
CeramTec 965 Toughened Alumina (Al2O3-ZrO2);0.19339422507564843;0.2666663727647401;0.2558139534883721
CeramTec ATZ Alumina Toughened Zirconia, Dental Grade;0.253073727497797;0.20155006759797278;0.27906976744186046
CeramTec 192/193 Titania;0.18406930282218772;0.17674385610587098;0.2674418604651163
724-5 Nextrema Translucent White Glass Ceramic/SCHOTT;0.11413238592123237;0.06589109850054102;0.2558139534883721
Ohara S-TIL25 Optical Glass;0.11832860093528969;0.05837171564199766;0.20930232558139536
Ohara S-TIL 1 Optical Glass;0.11599737037192452;0.054650783918182386;0.2116279069767442
Schott LG-750 Phosphate Laser Glass;0.12951850763944256;0.03883682409196748;0.2511627906976744
Ohara PBM8Y i-Line Optical Glass;0.15422955161111343;0.04558101284138266;0.2116279069767442
Ohara PBM2Y i-Line Optical Glass;0.16588570442793932;0.04426318285586475;0.21279069767441863
Ohara PBM18Y i-Line Optical Glass;0.1546957977237865;0.04635620695051084;0.21279069767441863
Ohara PBL6Y i-Line Optical Glass;0.12765352318875042;0.04689884282690057;0.19186046511627908
Ohara PBL35Y i-Line Optical Glass;0.15003333659705612;0.04620116812868521;0.2058139534883721
Ohara PBL26Y i-Line Optical Glass;0.14210715268161453;0.04565853225229548;0.20930232558139536
Ohara PBL25Y i-Line Optical Glass;0.14816835214636398;0.04534845460864421;0.20813953488372097
Ohara PBL1Y i-Line Optical Glass;0.135113460991519;0.04751899811420311;0.2058139534883721
Ohara L-NBH54 Low Tg Optical Glass;0.16728444276595844;0.08449575711961738;0.19186046511627908
Ohara L-BSL 7 Low Tg Optical Glass;0.10853743256915595;0.06147249207851038;0.20232558139534884
Ohara L-BAL43 Low Tg Optical Glass;0.13977592211824932;0.07007714668983321;0.24418604651162792
Ohara S-BAH28 Optical Glass;0.16868318110397754;0.07061978256622292;0.20116279069767443
Ohara L-BAL42 Low Tg Optical Glass;0.13977592211824932;0.06906939434796656;0.24069767441860465
Ohara BAL35Y i-Line Optical Glass;0.14816835214636398;0.06829420023883838;0.23720930232558143
Ohara BAL15Y i-Line Optical Glass;0.13278223042815382;0.060697297969382204;0.22790697674418606
Ohara S-NPH 1W Optical Glass;0.1509658288224022;0.6922479386761118;0.24418604651162792
Ohara S-NBH58 Optical Glass;0.15283081327309433;0.8139534138092362;0.23720930232558143
Ohara S-NBH53V Optical Glass;0.14630336769567184;0.7984495316266726;0.22906976744186044
Ohara S-NBH52V Optical Glass;0.1379109376675572;0.7465115263150844;0.23953488372093026
Ohara L-BAL42P Low Softening Temperature Optical Glass;0.13977592211824932;0.6906975504578554;0.24069767441860465
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;0.14723585992101793;0.3364338425862764;0.19767441860465118
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;0.14723585992101793;0.35813927764186554;0.19767441860465118
CoorsTek Zirconia-Toughened Alumina, ZTA;0.1864005333855529;0.279069478510791;0.22093023255813957
