Name;Density (g/cc);E-Modul (GPa);Class
Zoltek™ PX35 Continuous Tow Carbon Fiber;1.81;242;Carbon
DowAksa AKSACA™ A-38 3K Continuous Carbon Fiber;1.79;245;Carbon
DowAksa AKSACA™ A-49 D 24K Continuous Carbon Fiber;1.79;250;Carbon
Hexcel HexTow AS4C 3K Standard Modulus Carbon Fiber (3000 Filaments);1.78;231;Carbon
Hexcel HexTow AS4D 12K Standard Modulus Carbon Fiber (12,000 Filaments);1.79;241;Carbon
Hexcel HexTow AS7 12K Standard Modulus Carbon Fiber;1.79;248;Carbon
Hexcel HexTow IM2A Carbon Fiber (12,000 Filaments);1.78;276;Carbon
Hexcel HexTow IM2C Carbon Fiber (12,000 Filaments);1.78;296;Carbon
Hexcel HexTow AS4 3K Standard Modulus Carbon Fiber (3000 Filaments);1.79;231;Carbon
Hexcel HexTow IM5 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;276;Carbon
Hexcel HexTow IM6 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.76;279;Carbon
Hexcel HexTow IM8 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.78;310;Carbon
Hexcel HexTow IM10 Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;310;Carbon
Hexcel HexTow IMA Intermediate Modulus Carbon Fiber (12,000 Filaments);1.79;297;Carbon
Hexcel HexTow HM63 High Modulus Carbon Fiber (12,000 Filaments);1.83;441;Carbon
SGL Carbon Group SIGRAFIL C C30 T045 EPY Continuous Tow Carbon Fiber with 45k filaments, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C30 T050 EPY Continuous Tow Carbon Fiber with 50k filaments, Epoxy Sizing;1.80;240;Carbon
SGL Carbon Group SIGRAFIL C C10 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.75;200;Carbon
SGL Carbon Group SIGRAFIL C C30 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240;Carbon
SGL Carbon Group SIGRAFIL C C10 M250 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.75;180;Carbon
Teijin Tenax E HTS40 F13 Poly-acrylonitrile Carbon Fiber;1.77;240;Carbon
Teijin Tenax J HTS40 E13 3K 200tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax J HTS40 A23 12K 1420tex MC Nickel-Coated, high strength carbon fiber;2.70;230;Carbon
Teijin Tenax J UTS50 E13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.78;245;Carbon
Teijin Tenax E UTS50 F24 24K 1600tex DCP Poly-acrylonitrile Carbon Fiber;1.78;235;Carbon
Teijin Tenax J IMS60 E13 24K 830tex Poly-acrylonitrile Carbon Fiber;1.79;290;Carbon
Teijin Tenax E IMS65 E23 24K 830tex Poly-acrylonitrile Carbon Fiber;1.78;290;Carbon
Teijin Tenax A IM P303 3mm Chopped carbon fiber;1.79;275;Carbon
Teijin Tenax E ITS50 F23 24K 1600tex D Poly-acrylonitrile Carbon Fiber;1.80;255;Carbon
Teijin Tenax A HT P722 3mm Chopped carbon fiber;1.79;232;Carbon
